,LDA_PC1,LDA_PC2,LDA_PC3,player_fifa_api_id,player_positions,player_positions_general
1094,-2.264685201638166,-0.21160175630566225,1.2319382828693977,177953,"CM, CDM",MID
1095,-2.546900614698181,0.7651572262628831,1.2777824221818017,187924,"CAM, CM",MID
1096,22.71124243330526,-0.8952595864587899,-0.6024124596419009,107391,GK,GK
1097,-2.4754567564081227,0.4593614164340151,0.7784188706640611,203971,LM,MID
1098,-3.0274105593504856,2.2794935855657616,-0.569275597316468,155897,ST,ATK
1099,-1.0644619576730134,-3.1309084642532548,-2.099790541112585,19104,"CB, LB",DEF
1100,-2.3340816206093806,-0.4830792923851339,1.1970556714850429,208364,RM,MID
1101,-2.5003504369567637,2.207117134387182,0.18795442452455471,212273,"ST, RW",ATK
1102,-2.848050173620876,-1.8619921990173178,-1.2333035771635372,172316,RB,DEF
1103,20.75576114980362,0.5499961184274362,0.5509196609193829,200059,GK,GK
1104,-2.6547216473925546,0.770390036601265,1.456616224741834,4240,CM,MID
1105,-1.8465675455152903,2.271072479975426,-0.42762322538311304,166114,ST,ATK
1106,-1.1855350869903474,-1.7297903761626614,-1.2616929239164019,221906,CB,DEF
1107,20.453094508785814,-0.2746070525979293,-0.35938321949298196,202770,GK,GK
1108,-2.3003168251071595,2.503513322769744,-1.766995012319664,191089,"ST, LM",MID
1109,14.854869719688287,0.5672059636208826,-0.19811185701950132,222046,GK,GK
1110,-2.5834213175011187,0.07972800362056584,0.8703519221569056,204360,"RM, CM",MID
1111,-1.9977124086763134,2.1674861995737893,-1.0177125385572963,171881,ST,ATK
1112,-1.9920101611604295,-1.6281785235306152,0.36962407905416217,203751,LB,DEF
1113,-1.9709552189991608,-2.8829989293616425,-1.162100994847031,204466,CB,DEF
1114,-1.8846590686937057,-2.0134768111794337,0.5942030599048168,175894,"LB, LM",MID
1115,-2.4928543449298317,-1.8565493242837838,-0.2743424983217798,216578,RB,DEF
1116,-1.896621724295733,-2.3422316567478605,0.6325889561134505,212754,CB,DEF
1117,-2.028389046389539,2.7394074015584633,-0.7039575796658685,211239,"ST, LM, RM",MID
1118,-2.835410562988671,0.15890684913746644,0.9299466796438998,219683,"CM, CDM, LB, RB",DEF
1119,-2.3708228340326514,0.638111124578804,3.168926022214045,146510,"CAM, CDM, CM",MID
